"","university","percent_disagree_strongly_2020","percent_disagree_mildly_2020","percent_neutral_2020","percent_agree_mildly_2020","percent_agree_strongly_2020","sample_size_2020","respondents_2020","percent_disagree_strongly_2021","percent_disagree_mildly_2021","percent_neutral_2021","percent_agree_mildly_2021","percent_agree_strongly_2021","sample_size_2021","respondents_2021"
"286","Royal Holloway and Bedford New College",1,3,8,47,40,2308,1658,4,7,11,44,33,2474,1694
"287","Royal Northern College of Music",4,6,8,40,42,137,96,6,6,11,43,34,128,102
"288","The Royal Veterinary College",2,5,5,50,38,415,317,5,13,9,40,34,408,327
"289","Royal Welsh College of Music and Drama",7,7,12,34,39,127,99,6,12,12,40,30,162,130
"290","RTC Education Ltd",5,5,13,41,36,347,237,1,3,6,39,51,423,319
"291","SAE Education Limited",6,6,7,41,41,255,214,4,9,11,39,36,240,192
"292","University of Salford, The",4,8,10,42,37,4169,3099,7,11,13,42,27,4648,2948
"293","The Salvation Army",0,5,5,47,42,20,19,0,7,20,20,53,17,15
"294","Selby College",0,5,9,41,45,33,22,4,4,4,35,52,31,23
"295","The University of Sheffield",2,4,8,47,39,5221,3077,4,7,9,46,33,5141,3393
"296","Sheffield College, The",8,11,14,30,38,131,101,1,9,13,42,36,148,103
"297","Sheffield Hallam University",3,6,8,48,35,5964,4304,6,11,13,46,24,6438,4681
"298","The Sherwood Psychotherapy Training Institute Limited",0,4,12,56,28,30,25,11,7,11,33,37,31,27
"299","The SMB Group",2,2,13,49,33,65,45,7,0,17,43,33,32,30
"300","Solent University, Southampton",3,7,7,41,42,2183,1704,6,10,11,41,31,2121,1622
"301","Solihull College and University Centre",7,17,5,41,29,68,41,6,9,11,41,33,89,66
"302","South & City College Birmingham",5,6,10,25,53,126,77,13,4,10,35,38,122,71
"303","South Devon College",4,6,7,36,46,208,155,9,11,6,34,40,199,149
"304","South Eastern Regional College",0,1,4,42,53,183,107,3,8,10,37,43,190,104
"305","South Essex College of Further and Higher Education",3,9,7,32,51,167,152,3,9,14,38,36,157,138
"306","South Gloucestershire and Stroud College",0,3,3,52,42,114,65,3,5,7,47,38,108,74
"307","South Thames Colleges Group",6,13,11,39,30,117,79,9,9,14,47,21,75,57
"308","University of South Wales",3,6,8,39,43,4002,2908,5,9,13,39,34,4065,3172
"309","South West College",4,4,4,41,47,265,148,2,4,14,44,36,276,190
"310","University of Southampton",3,5,7,46,39,4024,2915,4,7,10,46,33,3846,2551
"311","Southern Regional College",4,6,8,40,41,283,205,4,6,10,34,46,262,160
"312","Southport College",4,7,19,37,33,43,27,8,13,13,34,32,64,38
